"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"NPC1"	1.48253436882148	2.93803782087616	119.74644832233	7.18859244172579e-28	1.5127029439873e-25
"RP11-91P17.1"	-1.06036129518019	9.5816466648529	119.680527740996	7.43149154547205e-28	1.53731109004214e-25
"MLLT6"	0.88551327994295	6.52451181510651	119.322461494154	8.90162452599511e-28	1.81073878899617e-25
"RP11-1259L22.1"	1.05368704513775	6.45779797879897	119.235725479144	9.29948969750932e-28	1.86066019275576e-25
"RP11-434D2.6"	-1.38723278287227	3.77760322486306	117.734245280985	1.98247898819036e-27	3.90260581465538e-25
"SCD"	0.95381582642014	6.50007079859008	117.571159111506	2.15237725938687e-27	4.16980388108202e-25
"TFAP2D"	0.933760482928489	6.23142991117439	116.396362058011	3.89194996092745e-27	7.42207019892493e-25
"HLA-DQB1-AS1"	-1.14963004430637	10.0399002345028	115.622372038321	5.74992059490338e-27	1.07965816708917e-24
"FSD1"	1.29434749058639	4.6118711448558	115.248672163946	6.94226252817977e-27	1.28379263873385e-24
"AC018445.1"	1.22770649474459	9.1525203065222	115.199338330132	7.11713434484455e-27	1.29648693550489e-24
"SIGLEC22P"	-1.23132959597906	11.2579780304007	113.822758045085	1.4249265960337e-26	2.55753369185167e-24
"RP4-761J14.9"	1.26302442928304	5.00006196027369	113.411050225693	1.75374843951172e-26	3.10210140641167e-24
"RP4-591B8.3"	2.01934291533864	4.54951606377493	113.299888874838	1.85487659378707e-26	3.23410983245303e-24
"BSCL2"	1.06820391700708	5.60098228687652	113.078267457002	2.0742326626887e-26	3.56563516170642e-24
"RP11-529H22.1"	-1.20522341854737	10.7345082882557	111.961843019548	3.64253564275255e-26	6.17460382219373e-24
"AC002994.1"	-1.72823367825046	1.8680660061967	111.818563865901	3.91552305605647e-26	6.54643272591359e-24
"RP4-800F24.1"	-0.942007560835609	5.61081861223529	111.6526155339	4.25737575320703e-26	7.02179338755294e-24
"TBKBP1"	-0.978712904867087	6.98433918847608	110.950280779393	6.06734513693011e-26	9.87359298616427e-24
"FTLP2"	-0.947687986466827	7.69062935635342	109.162630174135	1.49502321035243e-25	2.40088924767782e-23
"MT-TQ"	-1.15513116277064	10.2909150638376	107.710056591524	3.1111991770735e-25	4.9084590998364e-23
"RP13-512J5.1"	1.39383318614015	3.45148640668986	107.693745638696	3.13690954352511e-25	4.9084590998364e-23
"YWHAQP5"	-1.33264149758905	11.0954461451094	107.341296471362	3.74743853506139e-25	5.78955535701574e-23
"RP11-797H7.3"	-1.39637102892831	2.90219696396863	107.047687484984	4.34585328556376e-25	6.63014241878821e-23
"RP11-173M1.3"	-1.28962399348285	10.9900440244361	106.926483857268	4.61993322529599e-25	6.96126975490587e-23
"CASD1"	-1.4025792154438	10.599501833528	105.931416652964	7.6331812410197e-25	1.13613386642251e-22
"RN7SL697P"	-1.33375409753033	2.65793803204909	104.836410182026	1.32647358740772e-24	1.95055543786882e-22
"AC005616.2"	1.0137643952265	5.92415637795874	104.750079441927	1.38554526073921e-24	2.0131642746812e-22
"FAM86B2"	-0.972293800894261	10.322006397896	104.158555681932	1.86756481802217e-24	2.68160336517184e-22
"RP1-257I20.14"	-0.974565529442487	5.83075933919429	103.935084327475	2.09054585436067e-24	2.9668735061014e-22
"RP11-13L2.1"	-1.26725937378885	3.83559468458822	103.435998090672	2.68943390620274e-24	3.77293572703499e-22
"OR2B6"	-1.19053648291462	10.5222149817218	102.636341019602	4.02678319073227e-24	5.58487373214629e-22
"ZNF260"	0.995054785258	6.64217236493678	102.478156350202	4.36150431167175e-24	5.98114158696109e-22
"RP11-213L8.1"	0.903759130606317	6.40084081354545	102.026878661998	5.47734975526345e-24	7.42789486255449e-22
"DYNLL1P1"	1.1530444930321	5.34862019153467	101.223676013183	8.21613818831148e-24	1.10195567679496e-21
"RP11-265D19.6"	-0.85324744026067	8.76092209981894	100.646562922649	1.09952311549026e-23	1.45866082875637e-21
"GTPBP8"	-1.55996086428815	3.20733152748181	100.320501008339	1.29628072448313e-23	1.70119421960394e-21
"RP4-541C22.5"	-0.970061964281237	9.61587359178112	99.9699803039808	1.54724553376148e-23	2.00895018505945e-21
"AC090673.2"	-1.28595470826318	10.6003813249143	99.9449333871653	1.56693680114081e-23	2.01310143767616e-21
"AC109642.1"	1.22733922700151	4.78705256122994	99.5651915243235	1.89811361456825e-23	2.41317465268808e-21
"RNU4-17P"	0.871591058130257	7.03085777634292	99.175235521877	2.31119119358524e-23	2.90805036265029e-21
"RP11-167H9.4"	-1.63579975407781	4.08128714810108	99.140784821148	2.35174777835015e-23	2.92888588109832e-21
