"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"RNU6-276P"	-1.22376275848195	5.92844548515767	160.753957747789	7.74319144813131e-37	4.29571143747467e-34
"ANXA5"	-1.15270626526263	5.85823299963744	158.734860779781	2.13831989471721e-36	1.1347041006532e-33
"MIR4429"	-1.28374404605828	6.37638791465815	152.759218658487	4.32409848508968e-35	2.19898425043832e-32
"OR10AG1"	-1.07322298948932	7.74277139246009	152.594733817172	4.69725328414964e-35	2.29319905332185e-32
"IGHV3-62"	-1.68841586075596	3.80001693719195	151.52076956676	8.06429677995051e-35	3.78556700766523e-32
"PPIE"	-1.84053655618041	2.91160707358355	150.479916929206	1.36164029101534e-34	6.15511842660824e-32
"RASEF"	-1.63669809451379	3.84153395072217	149.510503417495	2.21795721626618e-34	9.66791708018885e-32
"TBKBP1"	-1.14833949861986	6.98433918847608	148.218167062234	4.25051012396732e-34	1.78887848493176e-31
"RP3-378P9.1"	-1.38927404641314	5.70482198007481	147.920437049769	4.93768324556312e-34	2.00881413373659e-31
"SMG8"	1.18455951297281	5.98724038831839	146.983265389699	7.91388064948546e-34	3.11577139764419e-31
"CTC-471J1.10"	-1.03785889247935	6.19369276173603	145.518371228501	1.65437317327183e-33	6.3098826811821e-31
"RP11-107K17.1"	-1.24312415639934	6.84863474956179	145.215502125613	1.92684628748557e-33	7.12641179962468e-31
"TRAV33"	-1.09590132039094	6.44112208336441	145.067018154494	2.07639102404195e-33	7.45363307306824e-31
"CTB-158E9.1"	-1.32252628756374	5.95506857680145	141.354907973676	1.34566363493541e-32	4.6925213326819e-30
"PLIN5"	-1.15293767768229	5.88722740570325	140.935478423099	1.66207619533565e-32	5.63489999001988e-30
"AC087499.4"	-1.14599820350862	8.77507902753107	140.159889032834	2.45612149018393e-32	8.10188183451212e-30
"YY1P2"	-1.32933352543889	5.75538408517413	139.67390989697	3.1370589937144e-32	1.00757381627064e-29
"RN7SL364P"	-1.33381819273602	8.18556895431918	138.967674213043	4.47677537500976e-32	1.4010011141537e-29
"FUCA1"	1.18784204696983	5.81457376658602	138.11498258905	6.87769326568054e-32	2.09855615769078e-29
"NUP155"	-1.38988179189756	5.74596089900139	135.54175959209	2.51325924581108e-31	7.32852851668427e-29
"SPTLC1"	-1.59817381842344	5.30050933252539	135.534942861671	2.52190248013715e-31	7.32852851668427e-29
"RP4-591B8.3"	2.25311580983564	4.54951606377493	134.099545721631	5.19636573888753e-31	1.47492194984005e-28
"RP11-545M17.2"	1.62893525931835	3.47930287461577	133.682934555177	6.40961005267662e-31	1.77793842483905e-28
"DBNL"	1.17608509390575	6.09773990830626	132.330511633941	1.26672541949687e-30	3.43564083221317e-28
"CTD-2542C24.7"	1.39313782361618	4.92762121689691	132.020860463784	1.48055204200454e-30	3.88554622899008e-28
"NID2"	-1.17973742682334	6.55801171574262	131.999886308278	1.49627753185198e-30	3.88554622899008e-28
"RP11-360A18.2"	-1.39879721572418	7.0939741058199	131.841419755211	1.62061464762641e-30	4.12075036964173e-28
"NPR2"	1.83017420642944	4.543855457062	131.57743961132	1.85110548953108e-30	4.61076377545446e-28
"RP11-78A19.4"	1.72133477304141	2.99245433830486	130.771194914084	2.77856163537071e-30	6.7824689519399e-28
"RP4-761J14.9"	1.37630135986865	5.00006196027369	130.682601787129	2.90537889918867e-30	6.95297048325446e-28
"RP11-580J4.1"	1.07910235354942	5.10162794509254	130.522794662494	3.14895342413205e-30	7.39095702721762e-28
