"identifier"	"translatedmRNA.apvEff"	"translatedmRNA.apvRvmPAdj"	"totalmRNA.apvEff"	"totalmRNA.apvRvmPAdj"	"translation.apvEff"	"translation.apvRvmPAdj"	"buffering.apvEff"	"buffering.apvRvmPAdj"	"singleRegMode"
"ABCA5"	"ABCA5"	0.333413239778439	0.0657023416151695	0.156583094996164	0.180338298333643	0.494752856414935	0.177446191916585	0.348760987468251	0.111665513508659	"background"
"ABCA7"	"ABCA7"	-1.26653865225492	0.0924191394246016	-0.479989847883622	0.454040367871348	-1.11490702054226	0.338496196439411	-0.0745775833996905	0.950679098528107	"background"
"ABCA8"	"ABCA8"	-0.210975377204714	0.48571651597856	0.0266850615276646	0.635567841980529	-0.0337119790536491	0.939369029362174	0.0106727293459703	0.928629800433348	"background"
"ABCB1"	"ABCB1"	0.520294565446504	0.00554211979483354	0.382561546817724	0.00763634117250102	0.208732359612295	0.400431404706088	-0.152660151993483	0.294633288263066	"abundance"
"ABCB10P1"	"ABCB10P1"	0.279593377395632	0.0183813606495432	0.151182908713652	0.0796397568616441	0.282000524756481	0.280997742397368	0.159768031915246	0.409774215156767	"abundance"
"ABCB10P4"	"ABCB10P4"	-1.24833873245164	0.0367022147998906	0.179001705138659	0.478673989154825	-1.00359931569851	0.148074709522506	-0.393631499206624	0.307982900262099	"background"
"ABCB5"	"ABCB5"	0.267451118195277	0.618927650836247	0.761336265087698	0.0588003551193672	-0.767638925329578	0.304726169618413	0.631099689772486	0.115939756779812	"buffering"
"ABCB9"	"ABCB9"	-0.0917512337698692	0.251594643849342	-0.0156652652783489	0.76188360507681	-0.068587181829431	0.752792957267882	0.0191754724342306	0.866303979429781	"background"
"ABCC2"	"ABCC2"	0.822425615006457	0.0103915314200211	1.13995610133786	0.00602333524323668	-0.101479463087517	0.659900914301261	0.141982706448343	0.305783549969657	"abundance"
"ABCC5-AS1"	"ABCC5-AS1"	0.801313648796897	0.0037097612530305	0.658836583324815	0.00331134724337013	0.698328773035554	0.153756706961778	0.387092676506534	0.213186580632476	"abundance"
"ABCC9"	"ABCC9"	0.0875721515779584	0.703191202878749	0.0591539845010201	0.722524346411006	0.00964022758736194	0.972700876514808	-0.00224449600001986	0.986864125228687	"background"
"ABCD2"	"ABCD2"	-0.326404357833727	0.0465517092702455	-0.256634450892848	0.0222381015281303	-0.218915715423436	0.559901765143067	-0.215155466395529	0.215859783472844	"abundance"
"ABCD4"	"ABCD4"	-0.329861432682453	0.0349630878059652	-0.57303444914254	0.00834434003474734	-0.0651426965371789	0.889435350565766	-0.364260270682173	0.136087924961575	"abundance"
"ABCE1"	"ABCE1"	-0.801121840467655	0.00409134880559172	-0.922940631020788	0.00255137988546685	-0.787959654231928	0.237831751063267	-0.903664686202634	0.114462523982867	"abundance"
"ABCF2"	"ABCF2"	0.573099925794772	0.00434641907893835	0.629731643873074	0.00172774828768361	0.785192638888704	0.309073912042568	0.636277959685507	0.0450119263495963	"abundance"
"ABCF2P1"	"ABCF2P1"	-0.25264829213994	0.148111617448758	-0.30707934510295	0.0178618243160898	-0.301747251397481	0.662705538556862	-0.316350615867925	0.142223114224301	"abundance"
"ABCG8"	"ABCG8"	0.0703511801973762	0.861069384896754	-0.590318296215637	0.181606252316183	0.374635086441555	0.568172333591602	-0.63093246907193	0.245708216561376	"background"
